AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface
-2.2999878,25.67051888,13.22350089,121.5926897,-2.47698020,0.3555,4.705882549,68.00,106.00,1796.00,15.81000042,24.00,-0.1133,19.49733543,SmoothCondition
-2.0999756,24.09425926,13.63891915,120.4225707,-1.57625962,0.4492,10.588235860,68.00,103.00,1689.00,14.64999962,22.00,-0.1289,19.51572227,SmoothCondition
-1.5000000,22.74317932,14.03104293,118.4567689,-1.35107994,0.4258,27.450981140,68.00,103.00,1599.00,11.85000038,21.00,-0.1328,19.44176483,SmoothCondition
0.1000366,22.29281998,14.17107305,117.5713084,-0.45035934,0.4140,24.313726430,69.00,104.00,1620.00,12.21000004,20.00,-0.0859,19.38876915,SmoothCondition
0.0999756,23.64389992,14.32895350,117.0741485,1.35107994,0.3945,20.000000000,69.00,104.00,1708.00,11.90999985,21.00,-0.0664,19.30163765,SmoothCondition
0.1000366,24.76979828,14.74178347,115.2684980,1.12589836,0.2187,23.529411320,69.00,104.00,1787.00,11.36999989,20.00,-0.0703,19.16961098,SmoothCondition
0.3000488,25.44533730,15.13960143,114.1115405,0.67553902,0.1719,23.137254710,69.00,105.00,1804.00,11.72999954,21.00,-0.0820,19.04090309,SmoothCondition
0.2999878,26.79641914,15.57119641,112.7888151,1.35108184,0.1523,26.274509430,69.00,108.00,1939.00,13.82999992,21.00,-0.1289,18.98648643,SmoothCondition
0.2000122,28.14749908,16.01405040,111.9504755,1.35107994,0.0508,29.411766050,69.00,113.00,2151.00,16.38999939,22.00,-0.2031,18.97997665,SmoothCondition
0.6000366,29.72376060,16.48692841,111.2646558,1.57626152,0.0391,35.686275480,69.00,119.00,2270.00,17.96999931,22.00,-0.1406,18.99794388,SmoothCondition
0.5000000,31.52519989,16.98607741,111.0760557,1.80143929,0.1094,41.960784910,69.00,133.00,2452.00,22.50000000,23.00,-0.0469,19.07406425,SmoothCondition
0.4000244,34.22735977,17.55653340,110.8931707,2.70215988,0.1328,25.098039630,69.00,130.00,2169.00,26.22999954,23.00,-0.0820,19.16825294,SmoothCondition
-0.6000366,35.80362320,18.14575445,111.2237509,1.57626343,0.0312,59.215686800,69.00,117.00,1589.00,20.35000038,22.00,-0.0664,19.15842628,SmoothCondition
-0.8999634,37.15470123,18.76499948,111.3773745,1.35107803,0.0391,51.372550960,70.00,124.00,1682.00,19.87999916,22.00,-0.0625,19.12820053,SmoothCondition
-1.2000122,39.40649796,19.42177444,112.1920364,2.25179673,0.1094,30.196079250,70.00,117.00,1734.00,20.73999977,22.00,-0.0742,19.08440971,SmoothCondition
-0.9000244,40.30722046,20.09356145,112.7330307,0.90072250,0.1172,19.215686800,70.00,106.00,1744.00,12.46000004,20.00,-0.1367,18.75436211,SmoothCondition
-0.7000122,40.30722046,20.76534846,112.3561312,0.00000000,0.1406,17.647058490,70.00,104.00,1721.00,11.19999981,19.00,-0.0937,18.37468147,SmoothCondition
-0.1000366,40.30722046,21.41086446,112.1639650,0.00000000,0.2539,6.274509907,70.00,102.00,1706.00,11.10000038,19.00,0.0156,18.01745987,SmoothCondition
0.1999512,39.18132019,22.05262747,109.8101316,-1.12590027,0.1055,32.549018860,70.00,104.00,1740.00,12.02999973,19.00,0.0625,17.75112152,SmoothCondition
0.4000244,40.30722046,22.71690848,107.0998952,1.12590027,-0.0156,47.843139650,70.00,117.00,1814.00,23.28000069,20.00,0.1953,17.70003891,SmoothCondition
0.5999756,42.33383560,23.42247240,104.3693303,2.02661514,-0.1055,55.686275480,70.00,136.00,1936.00,26.93000031,21.00,0.2773,17.73310852,SmoothCondition
0.7999878,45.48635864,24.18057838,102.7374554,3.15252304,-0.1914,46.666667940,71.00,139.00,2041.00,23.25000000,23.00,0.2773,17.70068932,SmoothCondition
1.5000000,47.96333694,24.97996733,101.7641990,2.47697830,-0.2305,50.196079250,71.00,141.00,2150.00,26.42000008,22.00,0.2656,17.69702721,SmoothCondition
1.2000122,50.89067459,25.78310924,104.0754167,2.92733765,-0.2656,43.529411320,71.00,142.00,2234.00,27.68000031,22.00,0.2305,17.68998337,SmoothCondition
0.7000122,51.34103775,26.52995620,108.2968937,0.45036316,-0.2813,55.686275480,71.00,158.00,2349.00,31.39999962,21.00,0.2695,17.70848274,SmoothCondition
0.4000244,53.36766052,27.27305023,114.6043812,2.02662277,-0.1953,49.019607540,72.00,158.00,2453.00,27.26000023,21.00,0.3047,17.66901779,SmoothCondition
-0.0999756,57.19572067,28.04241525,124.7084190,3.82806015,-0.2773,2.352941275,72.00,121.00,1713.00,27.26000023,22.00,0.2266,17.66901779,SmoothCondition
-0.5000000,57.87125778,28.79676822,135.1738421,0.67553711,-0.3789,68.627449040,72.00,134.00,1875.00,16.20000076,19.00,0.3047,17.40805435,SmoothCondition
-1.0000000,59.22233582,29.54361515,146.7893163,1.35107804,-0.4180,61.960784910,73.00,154.00,1950.00,28.67000008,20.00,0.3242,17.38067436,SmoothCondition
-1.2999878,61.92449951,30.30547415,160.9586305,2.70216369,-0.3672,52.156864170,73.00,158.00,2007.00,31.07999992,20.00,0.3359,17.36793900,SmoothCondition
-1.0000000,62.82521820,31.05232112,175.7551803,0.90071869,-0.2969,33.333332060,73.00,146.00,2032.00,31.42000008,20.00,0.2851,17.34980965,SmoothCondition
-1.4000244,64.62665558,31.79541505,192.2442625,1.80143738,-0.3242,35.686275480,73.00,127.00,2047.00,19.94000053,19.00,0.3594,17.16148758,SmoothCondition
-1.1000366,65.07701874,32.53850905,208.2909166,0.45036316,-0.2344,37.647060390,74.00,126.00,2071.00,21.11000061,19.00,0.3320,17.00611687,SmoothCondition
-1.0000000,65.52737427,33.33789800,222.2856464,0.45035553,-0.2305,39.215686800,74.00,126.00,2094.00,20.81999969,19.00,0.2969,16.84652710,SmoothCondition
-1.0000000,66.65327454,34.20859391,234.2554744,1.12590027,-0.2422,46.666667940,74.00,135.00,2129.00,23.45000076,19.00,0.3164,16.73787308,SmoothCondition
-0.9000244,67.32881927,35.14684391,242.8497178,0.67554473,-0.2383,32.549018860,74.00,126.00,2143.00,21.21999931,19.00,0.3320,16.59281158,SmoothCondition
