AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface
-0.599998474,24.29999924,8.72068933,46.84377225,6.299999237,-1.2903,67.05882263,26.00,115.00,1809.00,22.360000610,15.00,0.1468,28.78459167,UnevenCondition
0.099998474,27.89999962,9.04576239,52.27079800,3.600000381,-1.4038,0.00000000,26.00,107.00,947.50,23.129999160,17.00,0.2022,28.72807312,UnevenCondition
-0.200000763,30.59999847,9.40499965,59.12793716,2.699998856,-1.3209,28.23529434,26.00,103.00,797.00,10.130000110,17.00,0.1834,27.79902077,UnevenCondition
-0.899997711,29.69999886,9.89999963,64.36067403,-0.899999619,-1.4974,0.00000000,26.00,101.00,1112.00,6.050000191,15.00,0.2099,26.15026093,UnevenCondition
-0.900001526,28.79999924,10.37999962,68.51958917,-0.899999619,-1.3275,71.76470947,26.00,102.00,1150.00,11.739999770,15.00,0.2898,25.72126579,UnevenCondition
-1.400001526,27.89999962,10.84499962,71.67607236,-0.899999619,-1.5180,66.66666412,26.00,102.00,1150.00,14.050000190,14.00,0.2122,25.44197655,UnevenCondition
-1.200000763,28.79999924,11.32499960,74.91241126,0.899999619,-1.5972,65.88235474,27.00,102.00,1218.50,14.579999920,14.00,0.1779,25.15500259,UnevenCondition
-0.200000763,30.59999847,11.83499958,78.77112257,1.799999237,-1.6831,61.96078491,27.00,102.00,1288.00,14.550000190,14.00,0.2392,24.85887527,UnevenCondition
-0.700000763,32.39999771,12.37499954,83.26868080,1.799999237,-1.8255,57.64706039,27.00,102.00,1333.00,14.909999850,14.00,0.2365,24.57504845,UnevenCondition
-0.500000000,33.29999924,12.92999953,87.78111300,0.900001526,-1.7848,40.78431320,27.00,102.00,1368.50,14.859999660,14.00,0.3247,24.28318214,UnevenCondition
-0.500000000,34.20000076,13.49999954,92.28508018,0.900001526,-1.8743,0.00000000,27.00,102.00,1379.00,17.049999240,14.00,0.3604,24.09908295,UnevenCondition
0.200000763,33.29999924,14.05499953,95.52759716,-0.900001526,-1.9473,0.00000000,27.00,102.00,1302.00,16.579999920,14.00,0.3416,23.92586327,UnevenCondition
2.000000000,30.59999847,14.53499950,97.38739338,-2.700000763,-1.8180,1.17647064,27.00,102.00,1213.50,15.489999770,14.00,0.1405,23.77840042,UnevenCondition
1.600002289,29.69999886,14.98499949,98.70535928,-0.899999619,-1.7693,4.70588255,27.00,102.00,1118.00,11.109999660,14.00,0.1973,23.47639656,UnevenCondition
2.400001526,27.89999962,15.40499948,98.79505439,-1.799999237,-1.5092,52.94117737,27.00,102.00,1065.00,11.109999660,14.00,-0.0216,23.24152184,UnevenCondition
2.899997711,26.09999847,15.79499946,97.84318978,-1.800001144,-1.3203,53.33333588,28.00,102.00,1050.50,9.239999771,14.00,0.0258,22.89801598,UnevenCondition
2.599998474,26.09999847,16.15499943,97.34895237,0.000000000,-1.1716,9.80392170,28.00,102.00,993.50,8.189999580,14.00,0.0171,22.51869202,UnevenCondition
3.200000763,26.09999847,16.49999942,96.94372332,0.000000000,-0.8344,33.33333206,28.00,102.00,774.50,6.239999771,14.00,-0.0658,21.98398209,UnevenCondition
2.500000000,23.39999962,16.79999942,95.57084208,-2.699998856,-0.6664,37.25490189,28.00,102.00,793.50,6.380000114,14.00,-0.1473,21.57760811,UnevenCondition
2.200000763,20.69999886,17.05499940,93.55979972,-2.700000763,-0.5864,38.03921509,28.00,102.00,801.50,6.469999790,14.00,-0.2255,21.30664635,UnevenCondition
2.200000763,18.89999962,17.29499940,90.88725762,-1.799999237,-0.4839,38.43137360,28.00,102.00,804.00,6.440000057,14.00,-0.3459,21.14414406,UnevenCondition
1.899997711,16.19999886,17.47499938,88.47647807,-2.700000763,-0.4591,38.82352829,28.00,102.00,799.00,6.360000134,14.00,-0.3641,21.01474953,UnevenCondition
2.299999237,15.29999924,17.63999938,86.05769005,-0.899999619,-0.3935,39.21568680,28.00,102.00,802.50,6.380000114,14.00,-0.3554,20.95396996,UnevenCondition
0.699996948,13.50000000,17.77499938,83.79037650,-1.799999237,-0.3015,39.21568680,29.00,102.00,792.50,6.380000114,14.00,-0.3532,20.95396996,UnevenCondition
-0.399997711,10.79999924,17.86499938,82.01112239,-2.700000763,-0.2869,39.60784531,29.00,102.00,800.00,6.440000057,14.00,-0.5138,20.98951530,UnevenCondition
-0.399997711,8.09999943,17.90999937,80.99175807,-2.699999809,-0.0989,40.00000000,29.00,102.00,799.00,6.519999981,14.00,-0.5267,21.14693260,UnevenCondition
