AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface
-13.39999390,20.699998860,6.059999820,115.8400610,-4.500000000,1.0548,38.03921509,31.00,101.00,798.00,6.219999790,15.00,-0.5982,27.91969681,SmoothCondition
-13.20000458,17.100000380,6.344999826,117.2008155,-3.599998474,0.9012,38.03921509,31.00,101.00,797.50,6.269999981,15.00,-0.5244,26.45835495,SmoothCondition
-13.20000458,14.399999620,6.584999820,117.5595951,-2.700000763,0.9331,90.58823395,32.00,101.00,797.50,6.269999981,15.00,-0.5068,26.45835495,SmoothCondition
-11.80000305,14.399999620,6.824999813,117.8012222,0.000000000,0.9878,90.58823395,32.00,101.00,726.00,8.630000114,15.00,-0.4882,26.00412560,SmoothCondition
-19.80000305,14.399999620,7.064999807,117.9256968,0.000000000,1.1316,92.94117737,32.00,101.00,784.00,8.880000114,15.00,-0.6712,25.29549789,SmoothCondition
-21.89999390,16.199998860,7.334999788,118.4199339,1.799999237,1.2210,92.94117737,32.00,101.00,784.00,8.880000114,15.00,-0.6487,25.29549789,SmoothCondition
-22.30000305,18.000000000,7.634999788,119.3443408,1.800001144,1.1665,3.13725495,32.00,101.00,916.00,7.440000057,15.00,-0.5961,24.21328545,SmoothCondition
-22.20000458,18.899999620,7.949999781,120.4062645,0.899999619,1.3047,37.64706039,32.00,101.00,916.00,7.440000057,15.00,-0.6955,24.21328545,SmoothCondition
-24.30000305,17.100000380,8.234999788,120.6714596,-1.799999237,1.4474,37.64706039,32.00,101.00,793.50,6.360000134,15.00,-0.8115,23.36562538,SmoothCondition
-24.60000610,15.299999240,8.489999775,120.3019257,-1.800001144,1.5868,38.03921509,32.00,101.00,798.00,6.239999771,15.00,-0.9465,23.22027969,SmoothCondition
-24.29999542,11.699999810,8.684999772,119.2162054,-3.599999428,1.6432,38.03921509,32.00,101.00,798.00,6.239999771,15.00,-1.0324,23.22027969,SmoothCondition
-22.79999542,8.099999428,8.819999762,117.9250106,-3.600000381,1.7107,37.25490189,32.00,101.00,730.00,6.239999771,15.00,-1.0325,23.22027969,SmoothCondition
-22.79999542,7.199999809,8.939999759,116.6363327,-0.899999619,1.9128,97.64706421,32.00,101.00,730.00,6.630000114,15.00,-0.9890,23.38330650,SmoothCondition
-14.50000000,10.799999240,9.074999750,116.0164767,3.599999428,1.9735,97.64706421,33.00,101.00,891.50,9.109999657,15.00,-0.9364,23.29637909,SmoothCondition
-10.10000610,12.599999430,9.284999740,114.7863751,1.800000191,1.9857,97.64706421,33.00,101.00,891.50,9.109999657,15.00,-0.8741,23.29637909,SmoothCondition
-7.90000153,18.000000000,9.584999740,114.5209515,5.400000572,1.9721,74.90196228,33.00,103.00,1355.00,17.739999770,16.00,-0.8348,23.45933151,SmoothCondition
-9.69999695,21.599998470,9.944999715,115.2787816,3.599998474,1.8751,62.74509811,33.00,107.00,1355.00,17.739999770,16.00,-0.7112,23.45933151,SmoothCondition
-7.00000000,26.099998470,10.364999690,118.1362047,4.500000000,1.7788,62.74509811,33.00,107.00,1739.00,21.379999160,18.00,-0.5827,23.52676773,SmoothCondition
-4.69999695,28.799999240,10.829999680,122.1580605,2.700000763,1.6040,0.00000000,33.00,104.00,1277.00,12.880000110,18.00,-0.5145,22.90052414,SmoothCondition
-2.70000458,31.500000000,11.354999680,127.1313236,2.700000763,1.5901,0.00000000,33.00,104.00,1277.00,12.880000110,17.00,-0.5384,22.90052414,SmoothCondition
-3.40000153,31.500000000,11.879999680,131.5439934,0.000000000,1.4526,31.37254906,33.00,100.00,1242.00,14.409999850,17.00,-0.4222,22.53281784,SmoothCondition
